"id","allLetter","area","firstLetter","onlineTime","peopleNumber","platId","platName","proTime","problemTime","regCapital","status1","status2","type"
"107","xinchengchuangtou2","山东","xcct2","2014-12-17 00:00:00","0","3196","心诚创投","2014-12","2014-12-26 00:00:00","1000","0","0","提现困难"
"108","wenyidai5","山东","wyd6","2013-11-26 00:00:00","0","3199","稳益贷","2014-12","2014-12-26 00:00:00","1000","0","0","提现困难"
"109","yongdudai","浙江","ydd5","2014-06-22 00:00:00","0","3200","甬都贷","2014-12","2014-12-25 00:00:00","1000","0","0","提现困难"
"110","hanzetianxia","山东","hztx","2014-10-16 00:00:00","0","3207","汉泽天下","2014-12","2014-12-25 00:00:00","0","0","0","提现困难"
"111","sijidai4","安徽","sjd4","2014-12-01 00:00:00","0","3202","四季贷","2014-12","2014-12-25 00:00:00","1000","0","0","跑路"
"112","chongjindai","浙江","cjd1","2013-02-18 00:00:00","0","133","涌金贷","2014-12","2014-12-24 00:00:00","1000","0","0","提现困难"
"113","jindeyidai","山东","jdyd","2014-09-05 00:00:00","0","3208","金德易贷","2014-12","2014-12-24 00:00:00","500","0","0","提现困难"
"114","lianbangcaifu","江苏","lbcf","2013-09-29 00:00:00","0","292","联帮财富","2014-12","2014-12-24 00:00:00","2000","0","0","跑路"
"115","yagechuangtou","山东","ygct","2014-12-02 00:00:00","0","3209","雅戈创投","2014-12","2014-12-24 00:00:00","1000","0","0","跑路"
"116","rongfengchuangtou","浙江","rfct","2014-09-24 00:00:00","0","3210","融丰创投","2014-12","2014-12-24 00:00:00","1000","0","0","跑路"
"117","yintongdai","广东","ytd","2013-01-08 00:00:00","0","136","银通贷","2014-12","2014-12-23 00:00:00","5000","0","0","提现困难"
"118","jinhaoli","广东","jhl","2013-09-24 00:00:00","0","288","金豪利","2014-12","2014-12-23 00:00:00","2000","0","0","提现困难"
"119","xiangzhongyinlian","湖南","xzyl","2014-06-18 00:00:00","0","627","湘中银联","2014-12","2014-12-23 00:00:00","1000","0","0","提现困难"
"120","xingyeyidai","贵州","xyyd","2014-10-15 00:00:00","0","879","兴业易贷","2014-12","2014-12-23 00:00:00","500","0","0","提现困难"
"121","huachenyidai","湖南","hcyd","2014-09-25 00:00:00","0","914","华辰易贷","2014-12","2014-12-23 00:00:00","1000","0","0","提现困难"
"122","dezhoudai","山东","dzd1","2014-07-24 00:00:00","0","1247","德州贷","2014-12","2014-12-23 00:00:00","0","0","0","提现困难"
"123","hongkangchuangtou","山东","hkct","2014-02-21 00:00:00","0","3212","鸿康创投","2014-12","2014-12-23 00:00:00","1000","0","0","提现困难"
"124","tuodadai","山东","tdd1","2014-11-09 00:00:00","0","3213","拓达贷","2014-12","2014-12-23 00:00:00","1000","0","0","提现困难"
"125","jidingdai","山东","jdd1","2014-08-14 00:00:00","0","3214","基鼎贷","2014-12","2014-12-23 00:00:00","1000","0","0","提现困难"
"126","guanyutouzi","山东","gytz","2014-12-01 00:00:00","0","3216","冠宇投资","2014-12","2014-12-23 00:00:00","1000","0","0","提现困难"
"127","jintaicaifu","山东","jtcf","2014-09-11 00:00:00","0","3218","金泰财富","2014-12","2014-12-23 00:00:00","5000","0","0","提现困难"
"128","meijiachuangtou","山东","mjct","2014-11-17 00:00:00","0","3225","美嘉创投","2014-12","2014-12-23 00:00:00","1000","0","0","提现困难"
"129","yatairongziwang","北京","ytrz","2014-02-20 00:00:00","0","3823","亚太融资","2014-12","2014-12-20 00:00:00","1000","0","0","停业"
"130","minshengtouzi1","山东","mstz1","2014-11-19 00:00:00","0","3226","民生投资","2014-12","2014-12-20 00:00:00","2000","0","0","提现困难"
"131","taishangjinrong","浙江","tsjr","2014-07-29 00:00:00","0","1246","台商金融","2014-12","2014-12-19 00:00:00","5000","0","0","停业"
"132","huijinzhongying","北京","hjzy","2014-06-27 00:00:00","0","3224","汇金众盈","2014-12","2014-12-19 00:00:00","2000","0","0","跑路"
"133","xingshengdai","山东","xsd5","2014-08-07 00:00:00","0","3228","兴盛贷","2014-12","2014-12-18 00:00:00","1000","0","0","提现困难"
"134","lurunchuangtou","河北","lrct","2014-11-27 00:00:00","0","3160","鲁润创投","2014-12","2014-12-18 00:00:00","1000","0","0","跑路"
"135","18liangdiandai","甘肃","sbldd","2014-12-17 00:00:00","0","3161","18亮点贷","2014-12","2014-12-18 00:00:00","1000","0","0","跑路"
"136","rongjucaifu","广东","rjcf","2014-03-18 00:00:00","0","4770","融通聚富","2014-12","2014-12-18 00:00:00","2000","0","1","跑路"
"137","shuyidai","四川","syd4","2013-11-06 00:00:00","0","384","蜀易贷","2014-12","2014-12-17 00:00:00","1000","0","0","提现困难"
"138","dafuchuangtou","广东","dfct1","2014-10-01 00:00:00","0","929","大福创投","2014-12","2014-12-17 00:00:00","1000","0","0","跑路"
"139","hengfengxintou","山东","hfxt","2014-11-15 00:00:00","0","3238","恒丰信投","2014-12","2014-12-16 00:00:00","1000","0","0","提现困难"
"140","xinzhongjincaifu","河南","xzjcf","2014-12-01 00:00:00","0","3235","新中金财富","2014-12","2014-12-16 00:00:00","0","0","0","跑路"
"141","wenwenying1","上海","wwy1","2014-12-01 00:00:00","0","3236","稳稳盈","2014-12","2014-12-16 00:00:00","0","0","0","跑路"
