"id","date","toPay10","toReceive10","wdzjPlatId"
"451","2017-01-31","11.88","38.95","1190"
"452","2017-02-28","9.20","42.51","1190"
"453","2017-03-31","10.06","43.54","1190"
"454","2017-04-30","10.29","40.15","1190"
"455","2017-05-31","9.69","42.70","1190"
"456","2017-06-30","8.40","41.06","1190"
"457","2016-07-31","4.79","16.22","537"
"458","2016-08-31","6.59","15.03","537"
"459","2016-09-30","7.49","11.22","537"
"460","2016-10-31","6.91","9.34","537"
"461","2016-11-30","7.42","10.68","537"
"462","2016-12-31","6.35","10.47","537"
"463","2017-01-31","6.09","15.83","537"
"464","2017-02-28","5.33","13.05","537"
"465","2017-03-31","6.88","14.53","537"
"466","2017-04-30","16.68","36.67","537"
"467","2017-05-31","4.92","35.20","537"
"468","2017-06-30","4.68","79.79","537"
"469","2016-07-31","89.79","14.28","1030"
"470","2016-08-31","90.75","12.63","1030"
"471","2016-09-30","89.56","12.07","1030"
"472","2016-10-31","89.18","11.36","1030"
"473","2016-11-30","89.97","11.79","1030"
"474","2016-12-31","89.27","12.11","1030"
"475","2017-01-31","89.06","13.03","1030"
"476","2017-02-28","87.38","15.54","1030"
"477","2017-03-31","88.61","18.45","1030"
"478","2017-04-30","91.55","18.71","1030"
"479","2017-05-31","89.09","37.71","1030"
"480","2017-06-30","89.38","41.34","1030"
"481","2016-07-31","10.01","1.70","2005"
"482","2016-08-31","10.01","1.70","2005"
"483","2016-09-30","7.69","0.81","2005"
"484","2016-10-31","6.22","0.52","2005"
"485","2016-11-30","5.53","0.46","2005"
"486","2016-12-31","5.23","0.38","2005"
"487","2017-01-31","4.94","0.38","2005"
"488","2017-02-28","4.52","0.27","2005"
"489","2017-03-31","5.15","0.26","2005"
"490","2017-04-30","25.97","45.46","2005"
"491","2017-05-31","4.47","0.17","2005"
"492","2017-06-30","4.30","0.15","2005"
"493","2016-07-31","6.00","34.51","809"
"494","2016-08-31","5.64","31.39","809"
"495","2016-09-30","5.54","30.40","809"
"496","2016-10-31","5.32","30.86","809"
"497","2016-11-30","4.91","29.90","809"
"498","2016-12-31","5.83","29.53","809"
"499","2017-01-31","4.72","27.66","809"
"500","2017-02-28","4.47","26.44","809"
"501","2017-03-31","4.56","24.96","809"
"502","2017-04-30","3.87","22.79","809"
"503","2017-05-31","0.00","0.00","809"
"504","2017-06-30","11.96","50.91","809"
"505","2016-07-31","4.96","11.19","611"
"506","2016-08-31","5.96","11.35","611"
"507","2016-09-30","6.11","7.82","611"
"508","2016-10-31","6.03","8.15","611"
"509","2016-11-30","5.10","7.44","611"
"510","2016-12-31","5.28","7.85","611"
"511","2017-01-31","5.63","7.02","611"
"512","2017-02-28","5.87","6.61","611"
"513","2017-03-31","5.57","7.08","611"
"514","2017-04-30","5.45","6.67","611"
"515","2017-05-31","5.69","7.00","611"
"516","2017-06-30","7.65","6.74","611"
"517","2016-07-31","16.21","41.91","3122"
"518","2016-08-31","14.70","39.46","3122"
"519","2016-09-30","13.80","37.05","3122"
"520","2016-10-31","16.29","38.39","3122"
"521","2016-11-30","16.49","30.83","3122"
"522","2016-12-31","16.32","32.24","3122"
"523","2017-01-31","14.09","28.92","3122"
"524","2017-02-28","14.61","37.27","3122"
"525","2017-03-31","32.08","71.98","3122"
"526","2017-04-30","32.43","67.05","3122"
"527","2017-05-31","13.92","33.69","3122"
"528","2017-06-30","11.83","31.23","3122"
"529","2016-07-31","29.87","100.00","461"
"530","2016-08-31","31.41","100.00","461"
"531","2016-09-30","32.94","100.00","461"
"532","2016-10-31","32.63","100.00","461"
"533","2016-11-30","34.46","100.00","461"
"534","2016-12-31","34.88","100.00","461"
"535","2017-01-31","35.76","100.00","461"
"536","2017-02-28","35.43","100.00","461"
"537","2017-03-31","35.03","100.00","461"
"538","2017-04-30","35.14","100.00","461"
"539","2017-05-31","35.39","100.00","461"
"540","2017-06-30","35.56","100.00","461"
"541","2016-07-31","2.66","8.08","127"
"542","2016-08-31","2.56","7.76","127"
"543","2016-09-30","2.52","7.81","127"
"544","2016-10-31","2.34","7.65","127"
"545","2016-11-30","2.37","6.96","127"
"546","2016-12-31","2.48","6.09","127"
"547","2017-01-31","2.79","5.47","127"
"548","2017-02-28","2.82","4.78","127"
"549","2017-03-31","3.03","6.15","127"
"550","2017-04-30","3.31","6.20","127"
"551","2017-05-31","2.75","4.60","127"
"552","2017-06-30","2.53","4.20","127"
"553","2016-07-31","8.61","91.13","307"
"554","2016-08-31","8.95","89.24","307"
"555","2016-09-30","8.12","90.95","307"
"556","2016-10-31","8.60","81.88","307"
"557","2016-11-30","7.52","80.08","307"
"558","2016-12-31","7.19","74.61","307"
"559","2017-01-31","6.90","70.59","307"
"560","2017-02-28","6.36","67.48","307"
"561","2017-03-31","6.22","66.95","307"
"562","2017-04-30","6.29","56.73","307"
"563","2017-05-31","6.20","35.81","307"
"564","2017-06-30","5.74","29.03","307"
"565","2016-07-31","21.56","2.69","93"
"566","2016-08-31","24.68","1.39","93"
"567","2016-09-30","25.10","1.06","93"
"568","2016-10-31","21.08","3.92","93"
"569","2016-11-30","15.98","3.08","93"
"570","2016-12-31","10.49","0.62","93"
"571","2017-01-31","11.12","0.27","93"
"572","2017-02-28","8.90","0.32","93"
